,request.type,request.query,request.language,request.unit,location.name,location.country,location.region,location.lat,location.lon,location.timezone_id,location.utc_offset,temperature,precip,humidity,visibility,pressure,cloudcover,heatindex,dewpoint,windchill,windgust,feelslike,date,mintemp,maxtemp,avgtemp,totalsnow,sunhour
0,Zipcode,33511,en,m,Brandon,USA,Florida,27.912,-82.297,America/New_York,-5.0,28,0.0,76,9,1019,34,25,19,24,18,25,2021-03-01,21,28,24,0.0,11.6
1,Zipcode,33765,en,m,Clearwater,USA,Florida,27.974,-82.745,America/New_York,-5.0,24,0.5,83,10,1019,30,25,19,22,28,25,2021-03-01,22,24,23,0.0,11.6
2,Zipcode,33607,en,m,Tampa,USA,Florida,27.966,-82.511,America/Kentucky/Monticello,-5.0,25,0.0,77,10,1019,32,25,19,23,24,25,2021-03-01,21,25,23,0.0,11.6
3,Zipcode,33559,en,m,Lutz,USA,Florida,28.165,-82.407,America/New_York,-5.0,27,0.2,76,10,1019,34,25,19,23,19,25,2021-03-01,21,27,24,0.0,11.6
4,Zipcode,33180,en,m,Miami,USA,Florida,25.962,-80.141,America/Kentucky/Monticello,-5.0,27,0.1,72,10,1019,48,27,20,25,29,27,2021-03-01,24,27,26,0.0,7.3
5,Zipcode,33770,en,m,Largo,USA,Florida,27.921,-82.800,America/New_York,-5.0,24,0.5,83,10,1019,30,25,19,22,28,25,2021-03-01,22,24,23,0.0,11.6
6,Zipcode,33434,en,m,Boca Raton,USA,Florida,26.383,-80.163,America/New_York,-5.0,27,0.1,73,10,1019,43,27,20,25,28,27,2021-03-01,24,27,25,0.0,8.7
7,Zipcode,34134,en,m,Bonita Springs,USA,Florida,26.363,-81.823,America/New_York,-5.0,28,0.2,76,9,1019,37,25,19,24,20,25,2021-03-01,20,28,25,0.0,11.6
8,Zipcode,33426,en,m,Boynton Beach,USA,Florida,26.518,-80.082,America/New_York,-5.0,27,0.2,73,10,1019,56,27,20,25,27,27,2021-03-01,24,27,25,0.0,8.7
9,Zipcode,34210,en,m,Bradenton,USA,Florida,27.455,-82.642,America/New_York,-5.0,25,0.3,83,10,1019,20,25,20,23,22,25,2021-03-01,21,25,23,0.0,11.6
10,Zipcode,34613,en,m,Brooksville,USA,Florida,28.557,-82.519,America/New_York,-5.0,27,0.0,78,9,1019,46,25,19,23,18,25,2021-03-01,21,27,24,0.0,11.6
11,Zipcode,33991,en,m,Cape Coral,USA,Florida,26.630,-82.000,America/New_York,-5.0,26,0.1,79,10,1019,25,25,19,23,23,25,2021-03-01,21,26,24,0.0,11.6
12,Zipcode,33761,en,m,Clearwater,USA,Florida,28.029,-82.724,America/New_York,-5.0,24,0.8,81,10,1019,48,24,19,22,28,24,2021-03-01,21,24,23,0.0,10.2
13,Zipcode,33071,en,m,Pompano Beach,USA,Florida,26.243,-80.262,America/New_York,-5.0,29,0.0,68,10,1019,51,27,19,26,24,27,2021-03-01,24,29,26,0.0,8.7
14,Zipcode,32114,en,m,Daytona Beach,USA,Florida,29.198,-81.042,America/New_York,-5.0,27,0.2,76,10,1019,38,24,19,23,24,24,2021-03-01,20,27,24,0.0,11.6
15,Zipcode,32541,en,m,Destin,USA,Florida,30.398,-86.480,America/Chicago,-6.0,23,7.0,83,10,1018,66,21,18,21,32,21,2021-03-01,19,23,21,0.0,5.7
16,Zipcode,33308,en,m,Fort Lauderdale,USA,Florida,26.189,-80.109,America/Kentucky/Monticello,-5.0,27,0.0,73,10,1019,42,27,20,25,29,27,2021-03-01,24,27,26,0.0,8.7
17,Zipcode,33912,en,m,Fort Myers,USA,Florida,26.509,-81.832,America/New_York,-5.0,28,0.2,76,9,1019,37,25,19,24,20,25,2021-03-01,20,28,25,0.0,11.6
18,Zipcode,32608,en,m,Gainesville,USA,Florida,29.602,-82.399,America/New_York,-5.0,27,1.2,77,10,1018,68,24,18,23,17,24,2021-03-01,20,27,24,0.0,8.7
19,Zipcode,32223,en,m,Jacksonville,USA,Florida,30.158,-81.625,America/New_York,-5.0,30,0.5,66,10,1018,55,27,17,25,16,27,2021-03-01,21,30,26,0.0,8.7
20,Zipcode,32250,en,m,Jacksonville Beach,USA,Florida,30.288,-81.408,America/Kentucky/Monticello,-5.0,27,0.3,72,10,1018,47,23,17,23,27,23,2021-03-01,20,27,24,0.0,11.6
21,Zipcode,34741,en,m,Kissimmee,USA,Florida,28.305,-81.423,America/New_York,-5.0,29,0.3,74,9,1019,45,25,19,24,19,25,2021-03-01,20,29,25,0.0,11.6
