time,BLMN
2021-07-14 00:00:00-04:00,27.5
2021-07-15 00:00:00-04:00,26.45
2021-07-16 00:00:00-04:00,25.75
2021-07-19 00:00:00-04:00,23.98
2021-07-20 00:00:00-04:00,25.11
2021-07-21 00:00:00-04:00,26.13
2021-07-22 00:00:00-04:00,25.64
2021-07-23 00:00:00-04:00,25.78
2021-07-26 00:00:00-04:00,26.66
2021-07-27 00:00:00-04:00,26.7
2021-07-28 00:00:00-04:00,24.95
2021-07-29 00:00:00-04:00,25.22
2021-07-30 00:00:00-04:00,25.12
2021-08-02 00:00:00-04:00,25.44
2021-08-03 00:00:00-04:00,25.42
2021-08-04 00:00:00-04:00,25.59
2021-08-05 00:00:00-04:00,25.92
2021-08-06 00:00:00-04:00,25.84
2021-08-09 00:00:00-04:00,24.96
2021-08-10 00:00:00-04:00,25.74
2021-08-11 00:00:00-04:00,26.25
2021-08-12 00:00:00-04:00,26.41
2021-08-13 00:00:00-04:00,26.72
2021-08-16 00:00:00-04:00,26.21
2021-08-17 00:00:00-04:00,25.21
2021-08-18 00:00:00-04:00,25.035
2021-08-19 00:00:00-04:00,23.99
2021-08-20 00:00:00-04:00,24.33
2021-08-23 00:00:00-04:00,24.86
2021-08-24 00:00:00-04:00,25.79
2021-08-25 00:00:00-04:00,26.33
2021-08-26 00:00:00-04:00,26.37
2021-08-27 00:00:00-04:00,27.65
2021-08-30 00:00:00-04:00,26.87
2021-08-31 00:00:00-04:00,26.78
2021-09-01 00:00:00-04:00,26.73
2021-09-02 00:00:00-04:00,26.48
2021-09-03 00:00:00-04:00,26.0
2021-09-07 00:00:00-04:00,25.5
2021-09-08 00:00:00-04:00,25.17
2021-09-09 00:00:00-04:00,25.69
2021-09-10 00:00:00-04:00,24.92
2021-09-13 00:00:00-04:00,25.08
2021-09-14 00:00:00-04:00,24.65
2021-09-15 00:00:00-04:00,25.14
2021-09-16 00:00:00-04:00,25.35
2021-09-17 00:00:00-04:00,25.4
2021-09-20 00:00:00-04:00,24.89
2021-09-21 00:00:00-04:00,24.56
2021-09-22 00:00:00-04:00,25.14
2021-09-23 00:00:00-04:00,26.06
2021-09-24 00:00:00-04:00,26.24
2021-09-27 00:00:00-04:00,26.7373
2021-09-28 00:00:00-04:00,26.5
2021-09-29 00:00:00-04:00,26.47
2021-09-30 00:00:00-04:00,25.0
2021-10-01 00:00:00-04:00,26.63
2021-10-04 00:00:00-04:00,26.03
2021-10-05 00:00:00-04:00,25.18
2021-10-06 00:00:00-04:00,25.16
2021-10-07 00:00:00-04:00,24.91
2021-10-08 00:00:00-04:00,23.97
2021-10-11 00:00:00-04:00,24.11
2021-10-12 00:00:00-04:00,23.85
2021-10-13 00:00:00-04:00,23.28
2021-10-14 00:00:00-04:00,24.09
2021-10-15 00:00:00-04:00,23.441
2021-10-18 00:00:00-04:00,23.43
2021-10-19 00:00:00-04:00,23.0
2021-10-20 00:00:00-04:00,22.19
2021-10-21 00:00:00-04:00,22.29
2021-10-22 00:00:00-04:00,22.065
2021-10-25 00:00:00-04:00,22.04
2021-10-26 00:00:00-04:00,21.77
2021-10-27 00:00:00-04:00,21.62
2021-10-28 00:00:00-04:00,21.37
2021-10-29 00:00:00-04:00,21.62
2021-11-01 00:00:00-04:00,22.56
2021-11-02 00:00:00-04:00,20.285
2021-11-03 00:00:00-04:00,21.42
2021-11-04 00:00:00-04:00,20.75
2021-11-05 00:00:00-04:00,22.06
2021-11-08 00:00:00-05:00,21.56
2021-11-09 00:00:00-05:00,21.95
2021-11-10 00:00:00-05:00,20.97
2021-11-11 00:00:00-05:00,20.6
2021-11-12 00:00:00-05:00,20.2
2021-11-15 00:00:00-05:00,19.8
2021-11-16 00:00:00-05:00,19.63
2021-11-17 00:00:00-05:00,20.16
2021-11-18 00:00:00-05:00,19.35
2021-11-19 00:00:00-05:00,18.81
2021-11-22 00:00:00-05:00,19.17
2021-11-23 00:00:00-05:00,19.75
2021-11-24 00:00:00-05:00,19.67
2021-11-26 00:00:00-05:00,19.07
2021-11-29 00:00:00-05:00,18.08
2021-11-30 00:00:00-05:00,17.65
2021-12-01 00:00:00-05:00,17.49
2021-12-02 00:00:00-05:00,18.72
2021-12-03 00:00:00-05:00,18.55
2021-12-06 00:00:00-05:00,19.35
2021-12-07 00:00:00-05:00,19.245
2021-12-08 00:00:00-05:00,19.9
2021-12-09 00:00:00-05:00,19.34
2021-12-10 00:00:00-05:00,19.97
2021-12-13 00:00:00-05:00,19.35
2021-12-14 00:00:00-05:00,19.1
2021-12-15 00:00:00-05:00,18.9
2021-12-16 00:00:00-05:00,18.68
2021-12-17 00:00:00-05:00,19.59
2021-12-20 00:00:00-05:00,19.12
2021-12-21 00:00:00-05:00,19.99
2021-12-22 00:00:00-05:00,20.58
2021-12-23 00:00:00-05:00,20.93
2021-12-27 00:00:00-05:00,21.26
2021-12-28 00:00:00-05:00,21.33
2021-12-29 00:00:00-05:00,21.46
2021-12-30 00:00:00-05:00,21.2
2021-12-31 00:00:00-05:00,20.985
